,Prompt,Actual,Expected,Precision,Recall,F1
0,'What are some movies that explore the theme of humanity and its impact on society?',5,356,0.4,0.14285714285714285,0.21052631578947364
1,'What are some popular movies with a strong sense of humor?',5,665,0.8,0.25,0.38095238095238093
2,'What are some humorous movies that you can recommend?',8,1194,0.75,0.3333333333333333,0.46153846153846156
3,'What are some popular movies related to the theme of hunting?',7,148,0.0,0.0,0.0
4,'What are some movies that portray or explore the theme of idealism?',5,1021,0.4,0.14285714285714285,0.21052631578947364
5,'What are some popular movies that explore the theme of identity?',5,469,0.4,0.14285714285714285,0.21052631578947364
6,'What are some examples of movies with an idiotic theme or plot?',5,889,0.6,0.2,0.3
7,'Imaginary Friend',0,41,0.0,0.0,0.0
8,'Imagination in movies',5,684,0.2,0.07692307692307693,0.1111111111111111
9,'What are the top 250 movies on IMDb and can you provide some examples?',13,2090,0.46153846153846156,0.3333333333333333,0.3870967741935484
10,'Immigrants in movies',5,88,0.6,0.2,0.3
11,'What are some movies that explore the theme of immortality?',5,354,0.6,0.2,0.3
12,'Incest in movies',5,93,0.2,0.07692307692307693,0.1111111111111111
13,'What are some popular independent films that gained critical acclaim?',5,2633,0.2,0.07692307692307693,0.1111111111111111
14,'What are some popular Indian movies that have gained significant recognition and appreciation?',6,103,0.6666666666666666,0.25,0.36363636363636365
15,'What is an example of a movie related to the Indiana Jones franchise?',1,18,1.0,0.07692307692307693,0.14285714285714288
16,'What are some popular movies related to the theme of Indians?',5,384,0.6,0.2,0.3
17,'What are some popular indie movies that have gained critical acclaim?',5,576,0.4,0.14285714285714285,0.21052631578947364
18,'What are some movies that deal with the theme of infidelity?',5,356,0.8,0.25,0.38095238095238093
19,'Innocence Lost',3,180,0.0,0.0,0.0
20,'What are some movies related to the theme of insanity?',5,1062,0.8,0.25,0.38095238095238093
21,'Inspirational movies',5,357,0.4,0.14285714285714285,0.21052631578947364
22,'What are some inspiring movies that have left a lasting impact on people?',6,250,0.5,0.2,0.28571428571428575
23,'Intellectual movies',5,549,0.6,0.2,0.3
24,'What are some intelligent movies that showcase thought-provoking plots and characters?',6,252,0.5,0.2,0.28571428571428575
25,'What are some intelligent sci-fi movies that you would recommend?',5,106,0.4,0.14285714285714285,0.21052631578947364
26,'intense',4,2336,0.5,0.14285714285714285,0.22222222222222224
27,'What are some interesting movies that you would recommend?',5,1990,0.6,0.2,0.3
28,'What are some popular movies that have a significant internet or technology-related theme?',8,386,0.125,0.07692307692307693,0.09523809523809525
29,'Interracial romance movies',5,114,0.6,0.2,0.3
30,'Can you suggest a few intimate movies that explore deep emotional connections between characters?',8,2157,0.875,0.3684210526315789,0.5185185185185185
31,'Investigation',0,913,0.0,0.0,0.0
32,'What are some popular movies related to Iran or featuring Iranian characters or themes?',5,42,0.8,0.25,0.38095238095238093
33,'What are some popular movies related to the Iraq war or its aftermath?',5,87,0.4,0.14285714285714285,0.21052631578947364
34,'What are some movies related to the Iraq War?',5,52,0.8,0.25,0.38095238095238093
35,'What are some popular movies related to Ireland?',5,112,0.2,0.07692307692307693,0.1111111111111111
36,'Can you recommend any popular Irish movies?',5,137,0.2,0.07692307692307693,0.1111111111111111
37,'What are some popular movies featuring actors with Irish accents?',5,314,0.4,0.14285714285714285,0.21052631578947364
38,'Ironic movies',4,233,0.25,0.07692307692307693,0.11764705882352941
39,'What are some examples of irreverent movies?',5,256,0.8,0.25,0.38095238095238093
40,'islam',4,514,0.5,0.14285714285714285,0.22222222222222224
41,'Island-related movies',11,289,0.2727272727272727,0.2,0.23076923076923075
42,'Isolation-themed movies',5,129,1.0,0.29411764705882354,0.45454545454545453
43,'israel',4,145,0.25,0.07692307692307693,0.11764705882352941
44,'Italian movies',5,86,0.0,0.0,0.0
45,'Italy-related movies',6,103,0.3333333333333333,0.14285714285714285,0.2
46,'What is a famous James Bond movie?',3,31,0.3333333333333333,0.07692307692307693,0.125
47,'What are some popular movie adaptations of Jane Austen's novels?',5,19,0.6,0.2,0.3
48,'What are some popular Japanese movies or filmmakers?',18,387,0.2222222222222222,0.25,0.23529411764705882
49,'What are some popular Japanese movies?',5,229,0.0,0.0,0.0
50,'What are some movies related to the characters Jay and Silent Bob?',7,18,0.8571428571428571,0.3333333333333333,0.48
51,'What are some popular movies related to jazz?',5,70,0.8,0.25,0.38095238095238093
52,'What are some popular movies related to the theme of Jesus Christ?',5,118,0.2,0.07692307692307693,0.1111111111111111
53,'What are some popular movies with Jewish themes or featuring Jewish characters?',6,156,0.3333333333333333,0.14285714285714285,0.2
54,'What are some notable movies featuring Jewish characters or themes?',6,261,0.5,0.2,0.28571428571428575
55,'What are some popular movies related to the theme of journalism?',5,131,0.8,0.25,0.38095238095238093
56,'What are some movies related to Judaism?',5,94,0.4,0.14285714285714285,0.21052631578947364
57,'What are some popular movies related to the jungle theme?',5,204,1.0,0.29411764705882354,0.45454545454545453
58,'What are some popular movies related to the theme of justice?',6,1272,0.5,0.2,0.28571428571428575
