Prompt,Actual,Expected,Precision,Recall,F1
'007 (series)',7,57,0.7142857142857143,0.2941176470588235,0.4166666666666667
'18th century movies',5,201,0.4,0.1428571428571428,0.2105263157894736
'1920s',6,63,0.0,0.0,0.0
'1930s movies',6,528,0.6666666666666666,0.25,0.3636363636363636
'1950s movies',7,207,0.5714285714285714,0.25,0.3478260869565217
'1960s movies',9,186,0.1111111111111111,0.0769230769230769,0.0909090909090909
'1970s movies',6,525,0.3333333333333333,0.1428571428571428,0.2
'1980s movies',5,363,0.6,0.2,0.3
'19th century movies',5,185,0.2,0.0769230769230769,0.1111111111111111
'3d',5,154,1.0,0.2941176470588235,0.4545454545454545
'70mm',0,200,0.0,0.0,0.0
'80s movies',7,471,0.2857142857142857,0.1428571428571428,0.1904761904761904
'9/11 related movies',4,23,0.5,0.1428571428571428,0.2222222222222222
'What are some popular movies created by the animation studio Aardman?',4,6,0.5,0.3333333333333333,0.4
'What are some popular movies created by Aardman Studios?',5,23,0.4,0.1428571428571428,0.2105263157894736
'abortion',1,20,0.0,0.0,0.0
'What are some examples of movies with absurd or surreal themes?',5,1181,1.0,0.2941176470588235,0.4545454545454545
'What are some popular action movies that you would recommend?',5,2060,0.8,0.25,0.3809523809523809
'action packed',5,967,0.8,0.25,0.3809523809523809
'adaptation',3,1691,0.0,0.0,0.0
'What are some popular movies adapted from books?',6,1570,0.3333333333333333,0.1428571428571428,0.2
'What are some popular movies adapted from comic books?',10,216,0.5,0.2941176470588235,0.3703703703703703
'What are some popular movies adapted from video games?',5,48,1.0,0.2941176470588235,0.4545454545454545
'What are some movies that deal with the theme of addiction?',5,299,0.8,0.25,0.3809523809523809
'What are some popular movies that depict adolescence or teenage experiences?',5,616,0.4,0.1428571428571428,0.2105263157894736
'What are some popular movies that involve themes of adoption or have characters dealing with adoption-related issues?',5,190,0.6,0.2,0.3
'adultery',5,640,0.6,0.2,0.3
'What are some popular adventure movies that you can recommend?',5,1160,0.4,0.1428571428571428,0.2105263157894736
'What are some movies that portray affectionate relationships or have a strong focus on love and tenderness?',6,1595,0.6666666666666666,0.25,0.3636363636363636
'Can you suggest a movie from the AFI 100 list that has a significant impact on the film industry?',4,67,0.75,0.2,0.3157894736842105
'afi 100 (laughs)',4,85,0.0,0.0,0.0
'What are some famous movie quotes from the AFI 100 list?',6,169,0.5,0.2,0.2857142857142857
'What are some popular movies set in Africa or featuring African themes?',6,159,0.8333333333333334,0.2941176470588235,0.4347826086956522
'What are some popular movies related to the theme of 'afterlife'?',5,116,0.4,0.1428571428571428,0.2105263157894736
'What are some movies that explore the theme of aging and its impact on characters' lives?',5,180,0.6,0.2,0.3
'What are some movies related to the theme of AIDS?',5,102,0.8,0.25,0.3809523809523809
'What are some popular movies related to the theme of airplanes or aviation?',5,22,0.0,0.0,0.0
'What are some popular movies related to the theme of airports?',5,23,0.6,0.2,0.3
'What are some movies related to the theme of Alaska?',5,35,0.6,0.2,0.3
'What movie is related to Alcatraz and has a thrilling storyline?',2,10,0.5,0.1,0.1666666666666666
'What are some movies that deal with the theme of alcoholism?',5,62,1.0,0.2941176470588235,0.4545454545454545
'What are some popular movies related to the theme of aliens or extraterrestrial life?',5,367,0.6,0.2,0.3
'What are some popular movies related to the theme of alien invasion?',5,162,0.6,0.2,0.3
'What are some popular movies related to the theme of aliens?',5,302,0.4,0.1428571428571428,0.2105263157894736
'What are some examples of movies that use allegory as a central theme?',5,1364,0.2,0.0769230769230769,0.1111111111111111
'What are some popular movies directed by Pedro Almodóvar?',7,26,0.1428571428571428,0.0769230769230769,0.1
'What are some movie examples where the protagonist feels isolated or struggles with loneliness?',5,195,0.4,0.1428571428571428,0.2105263157894736
'What are some movies featuring characters with alter egos?',5,272,0.4,0.1428571428571428,0.2105263157894736
'What are some popular movies with alternate endings?',9,227,0.2222222222222222,0.1428571428571428,0.1739130434782608
'What are some popular movies that explore alternate history or feature alternate timelines?',6,108,0.3333333333333333,0.1428571428571428,0.2
'What are some movies related to the theme of alternate reality?',5,326,0.6,0.2,0.3
'What are some popular movies featuring alternate universes or parallel realities?',5,102,0.2,0.0769230769230769,0.1111111111111111
'What are some movies known for their amazing cinematography?',5,465,0.8,0.25,0.3809523809523809
'What are some movies known for their amazing photography?',10,464,0.4,0.25,0.3076923076923077
'What are some popular movies related to the American Civil War?',5,48,1.0,0.2941176470588235,0.4545454545454545
'What are some popular movies that involve the theme of amnesia?',5,70,0.8,0.25,0.3809523809523809
'Amy Smart has been in various movies. Can you suggest a few of her notable film roles?',6,85,0.6666666666666666,0.25,0.3636363636363636
'What are some popular movies featuring android(s) or cyborg(s) as main characters or significant roles?',7,96,0.5714285714285714,0.25,0.3478260869565217
'androids',6,79,0.5,0.2,0.2857142857142857
'Animal movie',4,254,1.0,0.25,0.4
'What are some popular movies featuring animals as main characters or significant roles?',5,495,1.0,0.2941176470588235,0.4545454545454545
'What are some popular animated movies?',5,384,0.6,0.2,0.3
'What are some popular animated movies?',5,537,0.6,0.2,0.3
'anime',5,140,0.4,0.1428571428571428,0.2105263157894736
'What are some movies related to the theme of Antarctica?',5,36,0.6,0.2,0.3
'What are some movies featuring anti-hero characters?',5,464,0.6,0.2,0.3
'What are some movies that address the theme of anti-semitism?',5,105,0.6,0.2,0.3
'What are some movies that have a strong anti-war theme or message?',6,133,0.8333333333333334,0.2941176470588235,0.4347826086956522
'What are some popular movies related to the apocalypse theme?',5,459,0.8,0.25,0.3809523809523809
'What are some popular movies related to the theme of archaeology?',5,28,0.4,0.1428571428571428,0.2105263157894736
'What are some popular movies related to Argentina?',5,52,0.2,0.0769230769230769,0.1111111111111111
'What are some movies related to the theme of an arms dealer?',5,92,0.4,0.1428571428571428,0.2105263157894736
'What are some movies featuring Arnold Schwarzenegger?',7,41,0.5714285714285714,0.25,0.3478260869565217
'What are some movies that have a strong focus on art or feature artistic themes?',5,977,1.0,0.2941176470588235,0.4545454545454545
'What are some popular art house movies?',5,729,0.4,0.1428571428571428,0.2105263157894736
'What are some popular movies that involve the theme of artificial intelligence?',6,67,0.3333333333333333,0.1428571428571428,0.2
'What are some movies related to the theme of artists or their lives?',5,354,0.8,0.25,0.3809523809523809
'What are some artistic movies that have received critical acclaim?',5,975,0.4,0.1428571428571428,0.2105263157894736
'What are some artsy movies that have gained critical acclaim?',6,192,0.3333333333333333,0.1428571428571428,0.2
'What are some popular movies featuring an assassin character?',9,473,0.2222222222222222,0.1428571428571428,0.1739130434782608
'What are some popular movies related to the theme of assassination?',5,685,0.4,0.1428571428571428,0.2105263157894736
'What are some popular movies featuring assassins as main characters or significant roles?',8,209,0.375,0.2,0.2608695652173913
'What are some popular movies featuring astronauts as main characters or significant roles?',5,127,0.6,0.2,0.3
'What are some movies that explore or relate to the theme of atheism?',5,64,0.2,0.0769230769230769,0.1111111111111111
'atmospheric',4,1638,0.5,0.1428571428571428,0.2222222222222222
'What are some popular movies related to the theme of Australia?',5,156,0.8,0.25,0.3809523809523809
'What are some popular Australian movies?',10,107,0.7,0.3684210526315789,0.4827586206896551
'What are some movies related to the author Alan Moore?',5,7,0.2,0.1428571428571428,0.1666666666666666
'What are some popular movies related to author Neil Gaiman?',7,38,0.2857142857142857,0.1428571428571428,0.1904761904761904
'What are some movies that deal with the theme of autism?',5,21,0.2,0.0769230769230769,0.1111111111111111
'What are some popular movies related to aviation?',8,64,0.5,0.25,0.3333333333333333
'What are some awesome movies that people generally love?',8,58,0.125,0.0769230769230769,0.0952380952380952
'What are some movies known for having an awesome soundtrack?',5,454,0.4,0.1428571428571428,0.2105263157894736
'What are some examples of movies considered to be awful or have received negative reviews?',5,163,0.4,0.1428571428571428,0.2105263157894736
'bad',0,272,0.0,0.0,0.0
'bad acting',5,715,0.6,0.2,0.3
'bad cgi',4,484,0.25,0.0769230769230769,0.1176470588235294
'bad ending',7,549,0.2857142857142857,0.1428571428571428,0.1904761904761904
'bad plot',3,880,0.3333333333333333,0.0769230769230769,0.125
'bad science',4,112,0.0,0.0,0.0
'bad script',3,112,0.0,0.0,0.0
'bad sequel',5,11,0.2,0.0909090909090909,0.125
'What are some popular movies related to the theme of ballet?',5,20,0.6,0.2,0.3
'What are some popular movies that involve bank robberies as a central theme?',6,162,0.5,0.2,0.2857142857142857
'What are some popular movies related to the theme of baseball?',10,44,0.6,0.3333333333333333,0.4285714285714285
'What are some popular movies based on books?',5,1737,0.0,0.0,0.0
'What are some popular movies based on comic books or graphic novels?',10,263,0.7,0.3684210526315789,0.4827586206896551
'What are some movie adaptations of plays?',6,548,0.6666666666666666,0.25,0.3636363636363636
'based on a true story',4,582,0.5,0.1428571428571428,0.2222222222222222
'What are some popular movies based on TV shows?',5,140,0.0,0.0,0.0
'What are some popular movies based on video games?',5,86,0.8,0.25,0.3809523809523809
'What are some popular movies based on books?',5,1374,0.0,0.0,0.0
'What are some popular movies based on comic books or comics?',7,140,0.2857142857142857,0.1428571428571428,0.1904761904761904
'What are some popular movies related to the Batman character or storyline?',8,13,0.625,0.3846153846153846,0.4761904761904762
'bdsm',3,115,1.0,0.2,0.3333333333333333
'What are some popular movies with the theme of beauty or featuring beautiful characters or settings?',5,424,0.0,0.0,0.0
'What are some movies known for their stunning visuals and beautiful scenery?',11,1268,0.6363636363636364,0.3684210526315789,0.4666666666666667
'beautifully filmed movies',5,1283,0.4,0.1428571428571428,0.2105263157894736
'What are some popular movies related to beauty pageants?',5,20,0.6,0.2,0.3
'What are some movies related to the theme of beer?',7,100,0.2857142857142857,0.1428571428571428,0.1904761904761904
'What are some popular movies related to the theme of Berlin?',5,56,0.2,0.0769230769230769,0.1111111111111111
