,Prompt,isResponseFormatted
0,'007 (series)',1
1,'18th century movies',1
2,'1920s',1
3,'1930s movies',1
4,'1950s movies',1
5,'1960s movies',1
6,'1970s movies',1
7,'1980s movies',1
8,'19th century movies',1
9,'3d',1
10,'70mm',1
11,'80s movies',1
12,'9/11 related movies',1
13,'What are some popular movies created by the animation studio Aardman?',1
14,'What are some popular movies created by Aardman Studios?',1
15,'abortion',1
16,'What are some examples of movies with absurd or surreal themes?',1
17,'What are some popular action movies that you would recommend?',1
18,'action packed',1
19,'adaptation',1
20,'What are some popular movies adapted from books?',1
21,'What are some popular movies adapted from comic books?',1
22,'What are some popular movies adapted from video games?',1
23,'What are some movies that deal with the theme of addiction?',1
24,'What are some popular movies that depict adolescence or teenage experiences?',1
25,'What are some popular movies that involve themes of adoption or have characters dealing with adoption-related issues?',1
26,'adultery',1
27,'What are some popular adventure movies that you can recommend?',1
28,'What are some movies that portray affectionate relationships or have a strong focus on love and tenderness?',1
29,'Can you suggest a movie from the AFI 100 list that has a significant impact on the film industry?',1
30,'afi 100 (laughs)',1
31,'What are some famous movie quotes from the AFI 100 list?',1
32,'What are some popular movies set in Africa or featuring African themes?',1
33,'What are some popular movies related to the theme of 'afterlife'?',1
34,'What are some movies that explore the theme of aging and its impact on characters' lives?',1
35,'What are some movies related to the theme of AIDS?',1
36,'What are some popular movies related to the theme of airplanes or aviation?',1
37,'What are some popular movies related to the theme of airports?',1
38,'What are some movies related to the theme of Alaska?',1
39,'What movie is related to Alcatraz and has a thrilling storyline?',1
40,'What are some movies that deal with the theme of alcoholism?',1
41,'What are some popular movies related to the theme of aliens or extraterrestrial life?',1
42,'What are some popular movies related to the theme of alien invasion?',1
43,'What are some popular movies related to the theme of aliens?',1
44,'What are some examples of movies that use allegory as a central theme?',1
45,'What are some popular movies directed by Pedro Almodóvar?',1
46,'What are some movie examples where the protagonist feels isolated or struggles with loneliness?',1
47,'What are some movies featuring characters with alter egos?',1
48,'What are some popular movies with alternate endings?',1
49,'What are some popular movies that explore alternate history or feature alternate timelines?',1
50,'What are some movies related to the theme of alternate reality?',1
51,'What are some popular movies featuring alternate universes or parallel realities?',1
52,'What are some movies known for their amazing cinematography?',1
53,'What are some movies known for their amazing photography?',1
54,'What are some popular movies related to the American Civil War?',1
55,'What are some popular movies that involve the theme of amnesia?',1
56,'Amy Smart has been in various movies. Can you suggest a few of her notable film roles?',1
57,'What are some popular movies featuring android(s) or cyborg(s) as main characters or significant roles?',1
58,'androids',1
59,'Animal movie',1
60,'What are some popular movies featuring animals as main characters or significant roles?',1
61,'What are some popular animated movies?',1
62,'What are some popular animated movies?',1
63,'anime',1
64,'What are some movies related to the theme of Antarctica?',1
65,'What are some movies featuring anti-hero characters?',1
66,'What are some movies that address the theme of anti-semitism?',1
67,'What are some movies that have a strong anti-war theme or message?',1
68,'What are some popular movies related to the apocalypse theme?',1
69,'What are some popular movies related to the theme of archaeology?',1
70,'What are some popular movies related to Argentina?',1
71,'What are some movies related to the theme of an arms dealer?',1
72,'What are some movies featuring Arnold Schwarzenegger?',1
73,'What are some movies that have a strong focus on art or feature artistic themes?',1
74,'What are some popular art house movies?',1
75,'What are some popular movies that involve the theme of artificial intelligence?',1
76,'What are some movies related to the theme of artists or their lives?',1
77,'What are some artistic movies that have received critical acclaim?',1
78,'What are some artsy movies that have gained critical acclaim?',1
79,'What are some popular movies featuring an assassin character?',1
80,'What are some popular movies related to the theme of assassination?',1
81,'What are some popular movies featuring assassins as main characters or significant roles?',1
82,'What are some popular movies featuring astronauts as main characters or significant roles?',1
83,'What are some movies that explore or relate to the theme of atheism?',1
84,'atmospheric',1
85,'What are some popular movies related to the theme of Australia?',1
86,'What are some popular Australian movies?',1
87,'What are some movies related to the author Alan Moore?',1
88,'What are some popular movies related to author Neil Gaiman?',1
89,'What are some movies that deal with the theme of autism?',1
90,'What are some popular movies related to aviation?',1
91,'What are some awesome movies that people generally love?',1
92,'What are some movies known for having an awesome soundtrack?',1
93,'What are some examples of movies considered to be awful or have received negative reviews?',1
94,'bad',1
95,'bad acting',1
96,'bad cgi',1
97,'bad ending',1
98,'bad plot',1
99,'bad science',1
100,'bad script',1
101,'bad sequel',1
102,'What are some popular movies related to the theme of ballet?',1
103,'What are some popular movies that involve bank robberies as a central theme?',1
104,'What are some popular movies related to the theme of baseball?',1
105,'What are some popular movies based on books?',1
106,'What are some popular movies based on comic books or graphic novels?',1
107,'What are some movie adaptations of plays?',1
108,'based on a true story',1
109,'What are some popular movies based on TV shows?',1
110,'What are some popular movies based on video games?',1
111,'What are some popular movies based on books?',1
112,'What are some popular movies based on comic books or comics?',1
113,'What are some popular movies related to the Batman character or storyline?',1
114,'bdsm',1
115,'What are some popular movies with the theme of beauty or featuring beautiful characters or settings?',1
116,'What are some movies known for their stunning visuals and beautiful scenery?',1
117,'beautifully filmed movies',1
118,'What are some popular movies related to beauty pageants?',1
119,'What are some movies related to the theme of beer?',1
120,'What are some popular movies related to the theme of Berlin?',1
121,'What are some of the best movies from 2005?',1
122,'best war films',1
123,'What are some movies that involve betrayal as a central theme?',1
124,'What movies are considered better than expected by the audience?',1
125,'better than the american version',1
126,'What are some popular biblical movies that have been adapted from the Bible or have strong religious themes?',1
127,'What are some popular movies with a big budget?',1
128,'What are some popular biographical movies?',1
129,'What are some popular biographical movies that focus on the lives of famous individuals?',1
130,'What are some popular biopics that depict the lives of famous individuals?',1
131,'What are some popular movies featuring birds as main characters or significant elements?',1
132,'What are some movies with the theme of 'biting'?',1
133,'bittersweet',1
134,'What are some bizarre movie examples that you can think of?',1
135,'Black and White Movies',1
136,'black comedy',1
137,'blaxploitation',1
138,'What are some examples of movies with a bleak theme or atmosphere?',1
139,'What are some movies related to the theme of blindness?',1
140,'What are some popular movies related to the theme of blood?',1
141,'What are some popular movies with the theme of violence or gore?',1
142,'boarding school',1
143,'What are some popular movies related to the theme of boats or boat adventures?',1
144,'What are some popular Bollywood movies?',1
145,'What are some movies related to the theme of bombs?',1
146,'What are some popular movies related to the 'Bond' franchise?',1
147,'What are some popular movies adapted from books?',1
148,'book was better',1
149,'What are some popular movies adapted from books?',1
150,'What are some examples of movies that have been described as boring?',1
151,'boring!',1
152,'What are some popular movies set in Boston or featuring Boston-related themes?',1
153,'What are some movies related to the theme of bowling?',1
154,'What are some popular movies related to the theme of boxing?',1
155,'What are some movies that involve brainwashing as a central theme or plot?',1
156,'What is a movie related to the theme of Brazil?',1
157,'What are some breathtaking movies that have left a lasting impression on viewers?',1
158,'What are some brilliant movies that have received critical acclaim and left a lasting impression on the audience?',1
159,'What are some popular British movies?',1
160,'What are some popular British comedy movies?',1
161,'What are some popular movies related to Broadway?',1
162,'What are some popular movies featuring the theme of brotherhood or relationships between siblings?',1
163,'brutal',1
164,'What are some movies that depict or involve brutality?',1
165,'What are some popular buddy movie examples?',1
166,'bullshit history',1
167,'What are some movies that depict or address the theme of bullying?',1
168,'What are some popular movies that involve business themes or have significant business aspects?',1
169,'Can you suggest a movie adaptation of C.S. Lewis's works?',1
170,'What are some popular movies set in California?',1
171,'What are some popular movies related to the theme of 'camp'?',1
172,'Campy movies',1
173,'Canada-related movies',1
174,'Can you recommend any movies that deal with the theme of cancer?',1
175,'can you recommend any movie related to the theme of cannibalism?',1
176,'What are some movies that explore the theme of capitalism?',1
177,'car chase',1
178,'What are some movies featuring Carrie-Anne Moss?',1
179,'What are some popular movies related to the theme of cars?',1
180,'What are some popular cartoon movies?',1
181,'What are some popular movies related to the theme of casinos?',1
182,'What are some movie examples related to the theme of catastrophe?',1
183,'Can you recommend a cathartic movie that helps in emotional healing?',1
184,'Can you suggest a movie that has a significant theme related to Catholicism?',1
185,'What are some movies that have dealt with or been affected by the issue of censorship?',1
186,'Can you recommend any cerebral movies that focus on thought-provoking themes and intellectual storylines?',1
187,'What are some popular movies that extensively used CGI technology?',1
188,'Character study',1
189,'What are some popular movies that involve a chase scene?',1
190,'What are some popular movies related to cheerleading?',1
191,'Can you recommend a cheesy movie for a light-hearted movie night?',1
192,'What are some popular movies related to the theme of chess?',1
193,'What is a famous movie related to the theme of Chicago?',1
194,'chick flick',1
195,'What are some movies that address the issue of child abuse?',1
196,'What are some popular movies that depict childhood experiences or themes?',1
197,'What are some popular children's movies that have entertained generations?',1
198,'What are some popular Chinese movies or films that have gained international recognition?',1
199,'What are some popular movies related to the theme of chocolate?',1
200,'What are some popular movies starring Chris Tucker?',1
201,'What are some popular movies related to the Christian theme or featuring Christian characters?',1
202,'What are some popular movies related to Christianity?',1
203,'What are some popular Christmas-themed movies?',1
204,'What are some popular movies related to the CIA?',1
205,'What are some movies known for their exceptional cinematography?',1
206,'What are some popular movies related to the circus theme?',1
207,'What are some popular movies related to the theme of civil war?',1
208,'What are some classic movies that have left a lasting impact on the film industry?',1
209,'What are some classic car movies that feature prominently the role of a vintage automobile?',1
